Run,niche_category,soil
ERR132073,endosphere,Mason Farm
ERR132074,endosphere,Mason Farm
ERR132075,endosphere,Mason Farm
ERR132076,endosphere,Mason Farm
ERR132077,endosphere,Mason Farm
ERR132078,endosphere,Mason Farm
ERR132079,endosphere,Mason Farm
ERR132081,endosphere,Mason Farm
ERR132082,endosphere,Mason Farm
ERR132083,endosphere,Clayton
ERR132084,endosphere,Clayton
ERR132085,endosphere,Clayton
ERR132087,endosphere,Clayton
ERR132088,endosphere,Clayton
ERR132089,endosphere,Clayton
ERR132090,endosphere,Clayton
ERR132091,endosphere,Clayton
ERR132092,endosphere,Clayton
ERR132093,endosphere,Clayton
ERR132094,endosphere,Clayton
ERR132095,endosphere,Clayton
ERR132096,endosphere,Clayton
ERR132097,endosphere,Clayton
ERR132098,endosphere,Clayton
ERR132099,endosphere,Clayton
ERR132100,endosphere,Clayton
ERR132101,endosphere,Clayton
ERR132102,endosphere,Clayton
ERR132103,endosphere,Clayton
ERR132104,endosphere,Clayton
ERR132106,endosphere,Clayton
ERR132107,endosphere,Clayton
ERR132108,endosphere,Clayton
ERR132109,endosphere,Clayton
ERR132110,endosphere,Clayton
ERR132111,endosphere,Clayton
ERR132112,endosphere,Clayton
ERR132114,endosphere,Clayton
ERR132115,endosphere,Clayton
ERR132116,endosphere,Clayton
ERR132117,endosphere,Clayton
ERR132118,endosphere,Clayton
ERR132119,endosphere,Clayton
ERR132121,endosphere,Clayton
ERR132122,endosphere,Clayton
ERR132123,endosphere,Clayton
ERR132124,endosphere,Clayton
ERR132125,endosphere,Clayton
ERR132126,endosphere,Clayton
ERR132127,endosphere,Clayton
ERR132128,endosphere,Clayton
ERR132129,endosphere,Clayton
ERR132130,endosphere,Clayton
ERR132132,endosphere,Clayton
ERR132133,endosphere,Clayton
ERR132134,endosphere,Clayton
ERR132135,endosphere,Clayton
ERR132136,endosphere,Clayton
ERR132137,endosphere,Clayton
ERR132138,endosphere,Clayton
ERR132139,endosphere,Clayton
ERR132141,endosphere,Clayton
ERR132142,endosphere,Clayton
ERR132143,endosphere,Clayton
ERR132144,endosphere,Clayton
ERR132145,endosphere,Clayton
ERR132146,endosphere,Clayton
ERR132147,endosphere,Clayton
ERR132148,endosphere,Clayton
ERR132149,endosphere,Clayton
ERR132150,endosphere,Clayton
ERR132152,endosphere,Clayton
ERR132153,endosphere,Clayton
ERR132154,endosphere,Clayton
ERR132191,endosphere,Mason Farm
ERR132201,endosphere,Mason Farm
ERR132212,endosphere,Mason Farm
ERR132223,endosphere,Mason Farm
ERR132234,endosphere,Mason Farm
ERR132254,endosphere,Mason Farm
ERR132265,endosphere,Mason Farm
ERR132276,endosphere,Mason Farm
ERR132287,endosphere,Mason Farm
ERR132296,endosphere,Mason Farm
ERR132308,endosphere,Mason Farm
ERR132319,endosphere,Mason Farm
ERR132330,endosphere,Mason Farm
ERR132340,endosphere,Mason Farm
ERR132350,endosphere,Mason Farm
ERR132356,endosphere,Mason Farm
ERR132357,endosphere,Mason Farm
ERR132358,endosphere,Mason Farm
ERR132361,endosphere,Mason Farm
ERR132368,endosphere,Mason Farm
ERR132369,endosphere,Mason Farm
ERR132370,endosphere,Mason Farm
ERR132372,endosphere,Mason Farm
ERR132381,endosphere,Mason Farm
ERR132382,endosphere,Mason Farm
ERR132383,endosphere,Mason Farm
ERR132384,endosphere,Mason Farm
ERR132386,endosphere,Mason Farm
ERR132387,endosphere,Mason Farm
ERR132389,endosphere,Mason Farm
ERR132400,endosphere,Mason Farm
ERR132408,endosphere,Mason Farm
ERR132409,endosphere,Mason Farm
ERR132410,endosphere,Mason Farm
ERR132411,endosphere,Mason Farm
ERR132412,endosphere,Mason Farm
ERR132413,endosphere,Mason Farm
ERR132414,endosphere,Mason Farm
ERR132415,endosphere,Mason Farm
ERR132416,endosphere,Mason Farm
ERR132417,endosphere,Mason Farm
ERR132418,endosphere,Mason Farm
ERR132419,endosphere,Mason Farm
ERR132420,endosphere,Mason Farm
ERR132421,endosphere,Mason Farm
ERR132422,endosphere,Mason Farm
ERR132423,endosphere,Mason Farm
ERR132424,endosphere,Mason Farm
ERR132425,endosphere,Mason Farm
ERR132426,endosphere,Mason Farm
ERR132427,endosphere,Mason Farm
ERR132428,endosphere,Mason Farm
ERR132429,endosphere,Mason Farm
ERR132430,endosphere,Mason Farm
ERR132431,endosphere,Mason Farm
ERR132432,endosphere,Mason Farm
ERR132433,endosphere,Mason Farm
ERR132434,endosphere,Mason Farm
ERR132435,endosphere,Mason Farm
ERR132436,endosphere,Mason Farm
ERR132437,endosphere,Mason Farm
ERR132438,endosphere,Mason Farm
ERR132439,endosphere,Mason Farm
ERR132440,endosphere,Mason Farm
ERR132441,endosphere,Mason Farm
ERR132442,endosphere,Mason Farm
ERR132444,endosphere,Mason Farm
ERR132445,endosphere,Mason Farm
ERR132446,endosphere,Mason Farm
ERR132447,endosphere,Mason Farm
ERR132448,endosphere,Mason Farm
ERR132449,endosphere,Mason Farm
ERR132450,endosphere,Mason Farm
ERR132451,endosphere,Mason Farm
ERR132452,endosphere,Mason Farm
ERR132453,endosphere,Mason Farm
ERR132454,endosphere,Mason Farm
ERR132455,endosphere,Mason Farm
ERR132456,endosphere,Mason Farm
ERR132457,endosphere,Mason Farm
ERR132458,endosphere,Mason Farm
ERR132459,endosphere,Mason Farm
ERR132460,endosphere,Mason Farm
ERR132461,endosphere,Mason Farm
ERR132463,endosphere,Mason Farm
ERR132464,endosphere,Mason Farm
ERR132465,endosphere,Mason Farm
ERR132466,endosphere,Mason Farm
ERR132467,endosphere,Mason Farm
ERR132468,endosphere,Mason Farm
ERR132469,endosphere,Mason Farm
ERR132470,endosphere,Mason Farm
ERR132471,endosphere,Clayton
ERR132472,endosphere,Clayton
ERR132473,endosphere,Clayton
ERR132474,endosphere,Clayton
ERR132475,endosphere,Clayton
ERR132476,endosphere,Clayton
ERR132477,endosphere,Clayton
ERR132478,endosphere,Clayton
ERR132479,endosphere,Clayton
ERR132480,endosphere,Clayton
ERR132481,endosphere,Mason Farm
ERR132482,endosphere,Clayton
ERR132483,endosphere,Clayton
ERR132484,endosphere,Clayton
ERR132485,endosphere,Clayton
ERR132486,endosphere,Clayton
ERR132487,endosphere,Clayton
ERR132488,endosphere,Clayton
ERR132489,endosphere,Clayton
ERR132490,endosphere,Clayton
ERR132491,endosphere,Mason Farm
ERR132492,endosphere,Mason Farm
ERR132493,endosphere,Mason Farm
ERR132494,endosphere,Mason Farm
ERR132495,endosphere,Mason Farm
ERR132496,endosphere,Mason Farm
ERR132497,endosphere,Mason Farm
ERR132498,endosphere,Mason Farm
ERR132499,endosphere,Mason Farm
ERR132500,endosphere,Mason Farm
ERR132501,endosphere,Mason Farm
ERR132502,endosphere,Mason Farm
ERR132503,endosphere,Mason Farm
ERR132504,endosphere,Mason Farm
ERR132505,endosphere,Mason Farm
ERR132506,endosphere,Mason Farm
ERR132507,endosphere,Mason Farm
ERR132508,endosphere,Mason Farm
ERR132509,endosphere,Mason Farm
ERR132510,endosphere,Mason Farm
ERR132511,endosphere,Mason Farm
ERR132512,endosphere,Mason Farm
ERR132513,endosphere,Mason Farm
ERR132514,endosphere,Mason Farm
ERR132515,endosphere,Mason Farm
ERR133126,endosphere,Mason Farm
ERR133135,endosphere,Mason Farm
ERR133176,endosphere,Mason Farm
ERR133188,endosphere,Mason Farm
ERR133229,endosphere,Mason Farm
ERR133240,endosphere,Mason Farm
ERR133390,endosphere,Clayton
ERR133402,endosphere,Clayton
ERR133420,endosphere,Clayton
ERR133422,endosphere,Clayton
ERR133423,endosphere,Mason Farm
ERR133424,endosphere,Mason Farm
ERR133425,endosphere,Mason Farm
ERR133426,endosphere,Mason Farm
ERR133427,endosphere,Mason Farm
ERR133428,endosphere,Mason Farm
ERR133429,endosphere,Mason Farm
ERR133430,endosphere,Mason Farm
ERR133431,endosphere,Mason Farm
ERR133432,endosphere,Mason Farm
ERR133433,endosphere,Mason Farm
ERR133434,endosphere,Mason Farm
ERR133435,endosphere,Mason Farm
ERR133436,endosphere,Mason Farm
ERR133437,endosphere,Mason Farm
ERR133438,endosphere,Mason Farm
ERR133439,endosphere,Mason Farm
ERR133440,endosphere,Mason Farm
ERR133441,endosphere,Mason Farm
ERR133442,endosphere,Mason Farm
ERR133443,endosphere,Mason Farm
ERR133445,endosphere,Mason Farm
ERR133446,endosphere,Mason Farm
ERR133447,endosphere,Mason Farm
ERR133448,endosphere,Mason Farm
ERR133449,endosphere,Mason Farm
ERR133450,endosphere,Mason Farm
ERR133451,endosphere,Mason Farm
ERR133452,endosphere,Mason Farm
ERR133453,endosphere,Mason Farm
ERR133454,endosphere,Mason Farm
ERR133455,endosphere,Mason Farm
ERR133456,endosphere,Mason Farm
ERR133457,endosphere,Mason Farm
ERR133458,endosphere,Mason Farm
ERR133459,endosphere,Mason Farm
ERR133460,endosphere,Mason Farm
ERR133461,endosphere,Mason Farm
ERR133463,endosphere,Mason Farm
ERR133464,endosphere,Mason Farm
ERR133465,endosphere,Mason Farm
ERR133466,endosphere,Mason Farm
ERR133467,endosphere,Mason Farm
ERR133468,endosphere,Mason Farm
ERR133469,endosphere,Mason Farm
ERR133470,endosphere,Mason Farm
ERR133471,endosphere,Mason Farm
ERR133472,endosphere,Mason Farm
ERR133473,endosphere,Mason Farm
ERR133474,endosphere,Mason Farm
ERR133475,endosphere,Mason Farm
ERR133476,endosphere,Mason Farm
ERR133477,endosphere,Mason Farm
ERR133478,endosphere,Mason Farm
ERR133479,endosphere,Mason Farm
ERR133481,endosphere,Mason Farm
ERR133482,endosphere,Clayton
ERR133483,endosphere,Mason Farm
ERR133486,endosphere,Clayton
ERR133487,endosphere,Clayton
ERR133489,endosphere,Clayton
ERR133490,endosphere,Clayton
ERR133491,endosphere,Clayton
ERR133492,endosphere,Clayton
ERR133493,endosphere,Clayton
ERR133494,endosphere,Clayton
ERR133495,endosphere,Clayton
ERR133496,endosphere,Clayton
ERR133497,endosphere,Mason Farm
ERR133498,endosphere,Clayton
ERR133499,endosphere,Clayton
ERR133500,endosphere,Clayton
ERR133501,endosphere,Clayton
ERR133502,endosphere,Clayton
ERR133503,endosphere,Mason Farm
ERR133504,endosphere,Clayton
ERR133505,endosphere,Clayton
ERR133506,endosphere,Clayton
ERR133507,endosphere,Clayton
ERR133508,endosphere,Clayton
ERR133509,endosphere,Clayton
ERR133510,endosphere,Clayton
ERR133511,endosphere,Clayton
ERR133513,endosphere,Clayton
ERR133514,endosphere,Clayton
ERR133515,endosphere,Clayton
ERR133516,endosphere,Clayton
ERR133517,endosphere,Clayton
ERR133518,endosphere,Clayton
ERR133520,endosphere,Clayton
ERR133521,endosphere,Clayton
ERR133522,endosphere,Clayton
ERR133523,endosphere,Clayton
ERR133524,endosphere,Clayton
ERR133525,endosphere,Clayton
ERR133527,endosphere,Clayton
ERR133528,endosphere,Clayton
ERR133529,endosphere,Mason Farm
ERR133531,endosphere,Clayton
ERR133532,endosphere,Clayton
ERR133533,endosphere,Clayton
ERR133534,endosphere,Clayton
ERR133535,endosphere,Clayton
ERR133536,endosphere,Mason Farm
ERR133537,endosphere,Clayton
ERR133538,endosphere,Clayton
ERR133539,endosphere,Clayton
ERR133540,endosphere,Clayton
ERR133541,endosphere,Clayton
ERR133542,endosphere,Clayton
ERR133543,endosphere,Clayton
ERR133544,endosphere,Clayton
ERR133545,endosphere,Clayton
ERR133547,endosphere,Clayton
ERR133548,endosphere,Clayton
ERR133549,endosphere,Clayton
ERR133550,endosphere,Clayton
ERR133551,endosphere,Clayton
ERR133552,endosphere,Clayton
ERR133553,endosphere,Clayton
ERR133555,endosphere,Clayton
ERR133556,endosphere,Clayton
ERR133557,endosphere,Clayton
ERR133558,endosphere,Clayton
ERR133559,endosphere,Clayton
ERR133560,endosphere,Clayton
ERR133561,endosphere,Clayton
ERR133562,endosphere,Clayton
ERR133564,endosphere,Clayton
ERR133565,endosphere,Clayton
ERR133566,endosphere,Clayton
ERR133567,endosphere,Clayton
ERR133568,endosphere,Clayton
ERR133569,endosphere,Clayton
ERR133570,endosphere,Clayton
ERR133571,endosphere,Clayton
ERR133573,endosphere,Clayton
ERR133574,endosphere,Clayton
ERR133575,endosphere,Clayton
ERR133578,endosphere,Clayton
ERR133579,endosphere,Clayton
ERR133580,endosphere,Clayton
ERR133581,endosphere,Clayton
ERR133582,endosphere,Clayton
ERR133583,endosphere,Clayton
ERR133585,endosphere,Clayton
ERR133586,endosphere,Clayton
ERR133587,endosphere,Clayton
ERR133588,endosphere,Clayton
ERR133589,endosphere,Clayton
ERR133590,endosphere,Clayton
ERR133591,endosphere,Clayton
ERR133593,endosphere,Clayton
ERR133594,endosphere,Clayton
ERR133595,endosphere,Clayton
ERR133598,endosphere,Clayton
ERR133599,endosphere,Clayton
ERR133600,endosphere,Clayton
ERR133601,endosphere,Clayton
ERR133602,endosphere,Clayton
ERR133603,endosphere,Clayton
ERR133604,endosphere,Clayton
ERR133605,endosphere,Clayton
ERR133606,endosphere,Clayton
ERR133607,endosphere,Clayton
ERR133608,endosphere,Clayton
ERR133609,endosphere,Clayton
ERR133611,endosphere,Clayton
ERR133612,endosphere,Clayton
ERR133613,endosphere,Clayton
ERR133614,endosphere,Clayton
ERR133615,endosphere,Clayton
ERR133616,endosphere,Clayton
ERR133617,endosphere,Clayton
ERR133618,endosphere,Clayton
ERR133620,endosphere,Clayton
ERR133621,endosphere,Clayton
ERR133622,endosphere,Clayton
ERR133623,endosphere,Clayton
ERR133624,endosphere,Clayton
ERR133625,endosphere,Clayton
ERR133626,endosphere,Clayton
ERR133627,endosphere,Clayton
ERR133628,endosphere,Clayton
ERR133630,endosphere,Clayton
ERR133631,endosphere,Clayton
ERR133632,endosphere,Clayton
ERR133633,endosphere,Clayton
ERR133634,endosphere,Clayton
ERR133635,endosphere,Clayton
ERR133636,endosphere,Clayton
ERR133637,endosphere,Clayton
ERR133638,endosphere,Clayton
ERR133674,endosphere,:North Carolina Area[GAZ::00082924]:
ERR133675,endosphere,:North Carolina Area[GAZ::00082924]:
ERR133676,endosphere,:North Carolina Area[GAZ::00082924]:
ERR133677,endosphere,:North Carolina Area[GAZ::00082924]:
ERR131823,bulk soil,Clayton
ERR131824,bulk soil,Clayton
ERR131825,bulk soil,Clayton
ERR131826,bulk soil,Clayton
ERR131827,bulk soil,Clayton
ERR131828,bulk soil,Clayton
ERR131829,bulk soil,Clayton
ERR131830,bulk soil,Clayton
ERR131831,bulk soil,Clayton
ERR131832,bulk soil,Clayton
ERR131833,bulk soil,Mason Farm
ERR131907,bulk soil,Clayton
ERR131908,bulk soil,Clayton
ERR131909,bulk soil,Clayton
ERR131911,bulk soil,Clayton
ERR131912,bulk soil,Clayton
ERR131913,bulk soil,Clayton
ERR131914,bulk soil,Clayton
ERR131915,bulk soil,Clayton
ERR132155,bulk soil,Mason Farm
ERR132156,bulk soil,Mason Farm
ERR132157,bulk soil,Mason Farm
ERR132158,bulk soil,Mason Farm
ERR132159,bulk soil,Mason Farm
ERR132161,bulk soil,Mason Farm
ERR132162,bulk soil,Mason Farm
ERR132163,bulk soil,Mason Farm
ERR132164,bulk soil,Mason Farm
ERR132165,bulk soil,Mason Farm
ERR132248,bulk soil,Mason Farm
ERR132249,bulk soil,Mason Farm
ERR132250,bulk soil,Mason Farm
ERR132251,bulk soil,Mason Farm
ERR132252,bulk soil,Mason Farm
ERR132253,bulk soil,Mason Farm
ERR132255,bulk soil,Mason Farm
ERR132256,bulk soil,Mason Farm
ERR132257,bulk soil,Mason Farm
ERR132258,bulk soil,Mason Farm
ERR132335,bulk soil,Mason Farm
ERR132336,bulk soil,Mason Farm
ERR132337,bulk soil,Mason Farm
ERR132338,bulk soil,Mason Farm
ERR132339,bulk soil,Mason Farm
ERR132341,bulk soil,Mason Farm
ERR132342,bulk soil,Mason Farm
ERR132343,bulk soil,Mason Farm
ERR132344,bulk soil,Mason Farm
ERR132345,bulk soil,Mason Farm
ERR132359,bulk soil,Mason Farm
ERR132360,bulk soil,Mason Farm
ERR132362,bulk soil,Mason Farm
ERR132363,bulk soil,Mason Farm
ERR132364,bulk soil,Mason Farm
ERR132365,bulk soil,Mason Farm
ERR132366,bulk soil,Mason Farm
ERR132367,bulk soil,Mason Farm
ERR132371,bulk soil,Mason Farm
ERR132385,bulk soil,Mason Farm
ERR132388,bulk soil,Mason Farm
ERR132390,bulk soil,Mason Farm
ERR132391,bulk soil,Mason Farm
ERR132392,bulk soil,Mason Farm
ERR132393,bulk soil,Mason Farm
ERR132394,bulk soil,Mason Farm
ERR132395,bulk soil,Mason Farm
ERR132396,bulk soil,Mason Farm
ERR132397,bulk soil,Mason Farm
ERR132398,bulk soil,Mason Farm
ERR132399,bulk soil,Mason Farm
ERR132401,bulk soil,Mason Farm
ERR132520,bulk soil,Mason Farm
ERR133136,bulk soil,Mason Farm
ERR133137,bulk soil,Mason Farm
ERR133138,bulk soil,Mason Farm
ERR133139,bulk soil,Mason Farm
ERR133140,bulk soil,Mason Farm
ERR133141,bulk soil,Mason Farm
ERR133142,bulk soil,Mason Farm
ERR133143,bulk soil,Mason Farm
ERR133144,bulk soil,Mason Farm
ERR133145,bulk soil,Mason Farm
ERR133146,bulk soil,Mason Farm
ERR133177,bulk soil,Clayton
ERR133198,bulk soil,Mason Farm
ERR133263,bulk soil,Clayton
ERR133264,bulk soil,Clayton
ERR133265,bulk soil,Clayton
ERR133266,bulk soil,Clayton
ERR133267,bulk soil,Clayton
ERR133268,bulk soil,Clayton
ERR133269,bulk soil,Clayton
ERR133270,bulk soil,Clayton
ERR133271,bulk soil,Clayton
ERR133272,bulk soil,Clayton
ERR133358,bulk soil,Clayton
ERR133359,bulk soil,Clayton
ERR133360,bulk soil,Clayton
ERR133361,bulk soil,Clayton
ERR133362,bulk soil,Clayton
ERR133363,bulk soil,Clayton
ERR133364,bulk soil,Clayton
ERR133365,bulk soil,Clayton
ERR133366,bulk soil,Clayton
ERR133367,bulk soil,Clayton
ERR133368,bulk soil,Clayton
ERR133413,bulk soil,Clayton
ERR133462,bulk soil,Mason Farm
ERR133484,bulk soil,Mason Farm
ERR133512,bulk soil,Mason Farm
ERR133530,bulk soil,Clayton
ERR133610,bulk soil,Mason Farm
ERR133619,bulk soil,Mason Farm
ERR133629,bulk soil,Mason Farm
ERR133639,bulk soil,Mason Farm
ERR133640,bulk soil,Mason Farm
ERR133645,bulk soil,Mason Farm
ERR133655,bulk soil,Mason Farm
ERR133665,bulk soil,Mason Farm
ERR133672,bulk soil,Mason Farm
